tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H6080314P01T04,Y24H6080314,Y24H6080314P01,4,14,885,15,915,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Yarra (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),30,30,13.38436,Vehicle Driver,Social,140,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.38436,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P01T05,Y24H6080314,Y24H6080314P01,5,17,1055,17,1065,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Retail venue,Supermarket,Buy Something,Bought something,Maribyrnong (C),10,10,2.87413,Vehicle Passenger,Buy Something,30,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.87413,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P01T06,Y24H6080314,Y24H6080314P01,6,18,1095,18,1105,Retail venue,Supermarket,Buy Something,Bought something,Maribyrnong (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),10,10,2.8742,Vehicle Passenger,Buy Something,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.8742,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T01,Y24H6080314,Y24H6080314P02,1,10,630,10,635,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Accommodation,2nd Home,Personal Business,Personal business (eg banking),Hobsons Bay (C),5,5,3.53794,Vehicle Driver,Personal Business,40,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.53794,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T02,Y24H6080314,Y24H6080314P02,2,11,675,11,680,Accommodation,2nd Home,Personal Business,Personal business (eg banking),Hobsons Bay (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),5,5,3.53794,Vehicle Driver,Personal Business,50,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.53794,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T03,Y24H6080314,Y24H6080314P02,3,12,730,12,750,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Retail venue,Craft or Hobby,Pick-up or Deliver Something,Something picked-up or delivered for home,Maribyrnong (C),20,20,9.73025,Vehicle Driver,Pick-up or Deliver Something,15,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.73025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T04,Y24H6080314,Y24H6080314P02,4,12,765,12,775,Retail venue,Craft or Hobby,Pick-up or Deliver Something,Something picked-up or delivered for home,Maribyrnong (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),10,10,9.73025,Vehicle Driver,Pick-up or Deliver Something,110,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.73025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T05,Y24H6080314,Y24H6080314P02,5,14,885,15,930,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Sport and Recreation venue,Tennis Court,Recreational,Other recreational (eg. exercise),Yarra (C),45,45,15.55127,Vehicle Driver,Recreational,60,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15.55127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T06,Y24H6080314,Y24H6080314P02,6,16,990,17,1035,Sport and Recreation venue,Tennis Court,Recreational,Other recreational (eg. exercise),Yarra (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),45,45,15.55127,Vehicle Driver,Recreational,20,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15.55127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T07,Y24H6080314,Y24H6080314P02,7,17,1055,17,1065,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Retail venue,Supermarket,Buy Something,Bought something,Maribyrnong (C),10,10,2.8742,Vehicle Driver,Buy Something,30,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.8742,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P02T08,Y24H6080314,Y24H6080314P02,8,18,1095,18,1105,Retail venue,Supermarket,Buy Something,Bought something,Maribyrnong (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),10,10,2.8742,Vehicle Driver,Buy Something,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.8742,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,560.335420897,531.012329529,655.147879093,584.484935736,614.832511113,551.346595004,634.042807776,808.884604695,546.818877676,711.623483146,0.0,MELB - Inner,Greater Melbourne,Weekend
