StageID	TripID	DayID	IndividualID	HouseholdID	PSUID	VehicleID	IndTicketID	PersNo	TravDay	JourSeq	StageSeq	StageDistance	StageDistance_B01ID	StageTime	StageTime_B01ID	StageMode_B03ID	StageMode_B04ID	StageMode_B11ID	StageShortWalk_B01ID	NumBoardings	NumBoardings_B01ID	NumParty	NumParty_B01ID	NumPartyChild	NumPartyChild_B01ID	NumPartyAdult	NumPartyAdult_B01ID	StageVehicle	StageVehicle_B01ID	StageOccupant_B01ID	TicketNumber	TicketType_B01ID	StageFareCost	StageFareCost_B01ID	ShortWalkDay_B01ID	StagePassCost	StagePassCost_B01ID	StageCost	StageCost_B01ID	StageMain_B01ID	SSXSC	STTXSC	SD	WhereParked_B01ID	SurveyYear
500078	600077	700028	800006	2016004999	2016000514	2016006272		1	1	12	1	0.8	1	5	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	5	0.8	-10	2016
500052	600052	700022	800004	2010002833	2010000217	2010003460		2	6	2	1	2.5	3	6	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	6	2.5	-10	2010
500097	600095	700032	800006	2016004999	2016000514	2016006272		1	5	5	1	5.7	5	15	4	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	5.7	-10	2016
500122	600120	700038	800007	2016004999	2016000514	2016006272		2	5	3	1	0.7	1	2	1	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	2	0.7	-10	2016
500124	600122	700038	800007	2016004999	2016000514	2016006273		2	5	5	1	0.7	1	3	2	5	3	5	2		-9	3	3		-9		-9	2	2	1	-9	-9		-9	1		-9		-9	1	1	3	0.7	-10	2016
500082	600081	700029	800006	2016004999	2016000514	2016006272		1	2	2	1	3.8	4	7	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	7	3.8	-10	2016
500079	600078	700028	800006	2016004999	2016000514	2016006272		1	1	13	1	0.3	1	3	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	3	0.3	-10	2016
500087	600086	700030	800006	2016004999	2016000514	2016006272		1	3	2	1	0.25	1	2	1	5	3	5	2		-9	3	3		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	2	0.25	-10	2016
500095	600093	700032	800006	2016004999	2016000514	2016006272		1	5	3	1	0.7	1	2	1	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	2	0.7	-10	2016
500089	600088	700030	800006	2016004999	2016000514	2016006272		1	3	4	1	6.2	5	12	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	12	6.2	-10	2016
500034	600034	700014	800003	2010002833	2010000217	2010003460		1	2	2	1	4.0	4	12	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500010	600010	700005	800001	2003001535	2003000111		2003000912	1	5	2	1	9.0	5	30	5	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	30	9.0	-9	2003
500061	600061	700025	800005	2011000714	2011000058			1	5	2	1	1.0	2	25	4	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	25	1.0	-10	2011
500066	600066	700028	800006	2016004999	2016000514	2016006272		1	1	1	1	10.6	6	17	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	17	10.6	-10	2016
500093	600091	700032	800006	2016004999	2016000514	2016006272		1	5	1	1	1.0	2	5	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	5	1.0	-10	2016
500002	600002	700001	800001	2003001535	2003000111		2003000912	1	1	2	1	9.0	5	32	5	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	32	9.0	-9	2003
500054	600054	700023	800004	2010002833	2010000217	2010003460		2	7	1	1	4.0	4	20	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	20	4.0	-10	2010
500099	600097	700032	800006	2016004999	2016000514	2016006272		1	5	7	1	2.3	3	8	3	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	8	2.3	-10	2016
500036	600036	700015	800003	2010002833	2010000217	2010003460		1	3	1	1	4.0	4	12	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500007	600007	700004	800001	2003001535	2003000111		2003000912	1	4	1	1	9.0	5	25	4	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	25	9.0	-9	2003
500102	600100	700033	800006	2016004999	2016000514	2016006272		1	6	2	1	5.0	5	10	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	10	5.0	-10	2016
500044	600044	700019	800004	2010002833	2010000217	2010003460		2	2	1	1	4.0	4	12	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500035	600035	700014	800003	2010002833	2010000217	2010003460		1	2	3	1	4.0	4	12	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500121	600119	700038	800007	2016004999	2016000514	2016006272		2	5	2	1	0.7	1	6	2	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	6	0.7	-10	2016
500141	600135	700043	800008	2024002100	2024000309	2024002738		1	7	1	1	11.0	6	15	4	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	15	11.0	-10	2024
500021	600021	700009	800002	2005004016	2005000292			1	3	4	1	2.5	3	7	2	8	4	6	2		-9	2	2		-9		-9		89	2	-9	-9		-9	-10		-9		-9	1	1	7	2.5	-9	2005
500032	600032	700013	800002	2005004016	2005000292			1	7	4	1	1.0	2	23	4	2	1	2	2		-9	2	2		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	23	1.0	-9	2005
500043	600043	700018	800004	2010002833	2010000217	2010003460		2	1	2	1	4.0	4	15	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	15	4.0	-10	2010
500040	600040	700017	800003	2010002833	2010000217	2010003460		1	7	1	1	3.0	4	20	4	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	20	3.0	-10	2010
500117	600115	700037	800007	2016004999	2016000514	2016006272		2	3	2	1	0.25	1	2	1	7	4	6	2		-9	3	3		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	2	0.25	-10	2016
500051	600051	700022	800004	2010002833	2010000217	2010003460		2	6	1	1	4.0	4	12	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500098	600096	700032	800006	2016004999	2016000514	2016006272		1	5	6	1	5.7	5	15	4	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	5.7	-10	2016
500074	600073	700028	800006	2016004999	2016000514			1	1	8	1	0.17	1	7	2	1	1	1	1		-9	1	1		-9		-9		-9	-9	-9	-9		-9	2		-9		-9	1	7	49	1.19	-10	2016
500022	600022	700009	800002	2005004016	2005000292	2005004704		1	3	5	1	8.0	5	22	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	22	8.0	6	2005
500145	600139	700045	800009	2024002100	2024000309	2024002738		2	2	1	1	2.5	3	15	4	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	2.5	-10	2024
500067	600067	700028	800006	2016004999	2016000514	2016006272		1	1	2	1	10.1	6	17	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	17	10.1	-10	2016
500112	600110	700035	800007	2016004999	2016000514	2016006273		2	1	3	1	0.7	1	3	2	5	3	5	2		-9	1	1		-9		-9	2	2	1	-9	-9		-9	2		-9		-9	1	1	3	0.7	-10	2016
500003	600003	700002	800001	2003001535	2003000111		2003000912	1	2	1	1	9.0	5	25	4	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	25	9.0	-9	2003
500137	600132	700041	800008	2024002100	2024000309			1	2	2	2	13.0	6	30	5	23	11	17	2	1	1	2	2		-9		-9		-9	-9	-9	3	3.85	12	1	0.0	1	3.85	12	1	1	30	13.0	-10	2024
500062	600062	700026	800005	2011000714	2011000058			1	6	1	1	1.0	2	30	5	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	30	1.0	-10	2011
500059	600059	700024	800005	2011000714	2011000058			1	3	2	1	1.0	2	30	5	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	30	1.0	-10	2011
