TripID	DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	JourSeq	HowComp_B01ID	SeriesCall_B01ID	ShortWalkTrip_B01ID	NumStages	NumStages_B01ID	MainMode_B03ID	MainMode_B04ID	MainMode_B11ID	TripPurpFrom_B01ID	TripPurpTo_B01ID	TripPurpose_B01ID	TripPurpose_B02ID	TripPurpose_B04ID	TripStartHours	TripStartMinutes	TripStart	TripStart_B01ID	TripStart_B02ID	TripEndHours	TripEndMinutes	TripEnd	TripEnd_B01ID	TripEnd_B02ID	TripDisIncSW	TripDisIncSW_B01ID	TripDisExSW	TripDisExSW_B01ID	TripTotalTime	TripTotalTime_B01ID	TripTravTime	TripTravTime_B01ID	TripOrigGOR_B02ID	TripDestGOR_B02ID	JJXSC	JOTXSC	JTTXSC	JD	W5	W5xHH	SurveyYear
600046	700019	800004	900003	2010000217	2	2	3	2	2	2	1	1	5	3	5	23	14	15	12	7	18	0	1080	19	39	18	20	1100	19	40	4.0	4	4.0	4	20	4	12	3	8	8	1	20	12	4.0	0.77522155810472	1.0	2010
600123	700039	800007	900005	2016000514	2	7	1	2	2	2	1	1	7	4	6	23	5	6	5	4	13	0	780	14	26	13	30	810	14	27	13.3	6	13.3	6	30	5	30	5	2	2	1	30	30	13.3	1.04965208365666	1.27786728700814	2016
600128	700039	800007	900005	2016000514	2	7	6	2	2	2	1	1	3	2	3	15	23	16	13	7				-8	-8				-8	-8	7.0	5	7.0	5	30	5	30	5	2	2	1	30	30	7.0	0.82140930778046	1.0	2016
600052	700022	800004	900003	2010000217	2	6	2	2	2	2	1	1	5	3	5	23	10	10	8	7	11	0	660	12	22	11	6	666	12	22	2.5	3	2.5	3	6	2	6	2	8	8	1	6	6	2.5	0.77522155810472	1.0	2010
600080	700029	800006	900005	2016000514	1	2	1	2	2	2	1	1	5	3	5	23	12	13	10	7	12	0	720	13	24	12	20	740	13	24	9.5	5	9.5	5	20	4	20	4	2	2	1	20	20	9.5	0.82140930778046	1.0	2016
600016	700008	800002	900002	2005000292	1	2	1	2	2	2	1	1	19	8	13	23	1	1	1	1	7	15	435	8	10	7	47	467	8	12	7.0	5	7.0	5	32	5	32	5	11	11	1	32	32	7.0	0.91338270902634	1.01875967426589	2005
600028	700012	800002	900002	2005000292	1	6	2	2	2	2	1	1	19	8	13	1	23	1	1	1	15	30	930	16	31	16	0	960	17	32	7.0	5	7.0	5	30	5	30	5	11	11	1	30	30	7.0	0.96301287412643	1.07411567162764	2005
600077	700028	800006	900005	2016000514	1	1	12	2	2	2	1	1	5	3	5	23	5	6	5	4	18	30	1110	19	41	18	35	1115	19	41	0.8	1	0.8	1	5	2	5	2	2	2	1	5	5	0.8	0.82140930778046	1.0	2016
600113	700036	800007	900005	2016000514	2	2	2	2	2	2	1	1	3	2	3	15	23	16	13	7	15	5	905	16	30	16	35	995	17	33	23.0	7	23.0	7	90	8	90	8	2	2	1	90	90	23.0	0.82140930778046	1.0	2016
600037	700015	800003	900003	2010000217	1	3	2	2	2	2	1	1	7	4	6	23	14	15	12	7	18	30	1110	19	41	18	45	1125	19	41	4.0	4	4.0	4	15	4	12	3	8	8	1	15	12	4.0	0.77522155810472	1.0	2010
600130	700040	800008	900006	2024000309	1	1	2	2	2	2	1	1	7	4	6	6	23	7	7	6	11	52	712	12	23	12	15	735	13	24	1.0	2	1.0	2	23	4	6	2	5	5	1	23	6	1.0	0.650519335909	1.0	2024
