shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sowez,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sdwez,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd
23217191,800006,232171910401,23217191040102,23217191040101,23217191040103,23,4,1,2,5,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.704999983,0.699999988,0,10,-1,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437
23217191,800006,232171910401,23217191040103,23217191040102,-1,23,4,1,3,5,0,1,13,-1,10,-1,11,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.796000004,0.699999988,10,0,-1,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437
23217191,800006,232171910402,23217191040201,-1,23217191040202,23,4,2,1,5,0,1,-1,13,10,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.799000025,0.699999988,15,0,-1,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437
23217191,800006,232171910402,23217191040202,23217191040201,23217191040203,23,4,2,2,5,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.681999981,0.600000024,5,5,-1,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437
23217191,800006,232171910402,23217191040203,23217191040202,-1,23,4,2,3,5,0,1,13,-1,5,-1,11,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.280000001,0.200000003,5,0,-1,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437
23217191,800004,232171910202,23217191020202,23217191020201,23217191020203,23,2,2,2,5,0,17,1,1,-1,-1,3,-1,-1,-1,1,1,0,14,0,0,0,2,2,3,6,0,0,0,3,5,4.339000225,4.300000191,20,10,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910202,23217191020203,23217191020202,23217191020204,23,2,2,3,5,0,1,17,19,1,-1,4,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,6,0,0,0,2,8,0.0,0.0,0,-2,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910202,23217191020204,23217191020203,23217191020205,23,2,2,4,5,0,19,1,1,-1,-1,4,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,5,0,0,0,2,8,3.492000103,3.400000095,10,10,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910202,23217191020205,23217191020204,-1,23,2,2,5,5,0,1,19,-1,10,-1,11,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.412,0.400000006,10,0,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800005,232171910301,23217191030101,-1,23217191030102,23,3,1,1,5,0,1,-1,13,2,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.0,0.0,0,-2,-1,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567
23217191,800005,232171910301,23217191030102,23217191030101,23217191030103,23,3,1,2,5,0,13,1,13,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,1.800999999,1.799999952,10,10,-1,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567
23217191,800005,232171910301,23217191030103,23217191030102,23217191030104,23,3,1,3,5,0,13,13,1,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,2.305000067,2.299999952,10,5,-1,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567
23217191,800005,232171910301,23217191030104,23217191030103,-1,23,3,1,4,5,0,1,13,-1,3,-1,11,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.400999993,0.400000006,5,0,-1,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567
23217191,800005,232171910302,23217191030201,-1,23217191030202,23,3,2,1,5,0,1,-1,13,3,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.412999988,0.400000006,5,0,-1,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567
23217191,800005,232171910302,23217191030202,23217191030201,23217191030203,23,3,2,2,5,0,13,1,13,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,2.265000105,2.200000048,10,5,-1,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567
23294091,800007,232940910101,23294091010101,-1,23294091010102,23,1,1,1,6,0,1,-1,3,0,-1,1,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,6,0,0,0,2,8,0.0,0.0,0,-2,-1,637.8334485,579.3995393,,,,
23294091,800007,232940910101,23294091010102,23294091010101,-1,23,1,1,2,6,0,3,1,-1,-1,-1,11,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,5,0,0,0,2,8,3.046999931,3.0,30,5,-1,637.8334485,579.3995393,,,,
23294091,800007,232940910102,23294091010201,-1,-1,23,1,2,1,6,0,3,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,2.145999908,2.099999905,10,10,-1,637.8334485,579.3995393,,,,
23294091,800008,232940910201,23294091020101,-1,23294091020102,23,2,1,1,6,0,1,-1,13,3,-1,2,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,6,0,0,0,2,8,0.370000005,0.300000012,5,0,-1,637.8334485,928.2462262,,,,
23294091,800008,232940910201,23294091020102,23294091020101,23294091020103,23,2,1,2,6,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,3,0,0,0,2,8,2.105000019,2.099999905,15,5,-1,637.8334485,928.2462262,,,,
23294091,800008,232940910201,23294091020103,23294091020102,-1,23,2,1,3,6,0,1,13,-1,7,-1,11,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,3,0,0,0,2,8,0.344000012,0.300000012,5,0,-1,637.8334485,928.2462262,,,,
23294091,800008,232940910202,23294091020201,-1,-1,23,2,2,1,6,0,2,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,6,0,0,0,2,8,2.069999933,2.0,20,5,-1,637.8334485,928.2462262,,,,
23294091,800009,232940910301,23294091030101,-1,23294091030102,23,3,1,1,6,0,1,-1,13,12,-1,2,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,3,0,0,0,2,8,0.621999979,0.600000024,15,0,-1,637.8334485,785.4016573,,,,
23294091,800009,232940910301,23294091030102,23294091030101,23294091030103,23,3,1,2,6,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,3,0,0,0,2,8,2.13499999,2.099999905,20,5,-1,637.8334485,785.4016573,,,,
23294091,800009,232940910301,23294091030103,23294091030102,-1,23,3,1,3,6,0,1,13,-1,3,-1,11,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,3,0,0,0,2,8,0.123999998,0.100000001,0,0,-1,637.8334485,785.4016573,,,,
23294091,800009,232940910302,23294091030201,-1,23294091030202,23,3,2,1,6,0,1,-1,13,3,-1,2,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,3,0,0,0,2,8,0.123999998,0.100000001,0,0,-1,637.8334485,785.4016573,,,,
23294091,800009,232940910302,23294091030202,23294091030201,23294091030203,23,3,2,2,6,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,3,0,0,0,2,8,2.13499999,2.099999905,20,5,-1,637.8334485,785.4016573,,,,
23294091,800009,232940910302,23294091030203,23294091030202,-1,23,3,2,3,6,0,1,13,-1,12,-1,11,-1,-1,-1,2,2,3,3,0,0,0,2,2,3,6,0,0,0,2,8,0.621999979,0.600000024,15,0,-1,637.8334485,785.4016573,,,,
23454171,800012,234541710101,23454171010101,-1,-1,23,1,1,1,32,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,5,32,0,0,0,3,3,5,32,0,0,0,4,8,3.601999998,3.599999905,15,10,-1,305.4388396,334.4467506,,,,
23454171,800012,234541710102,23454171010201,-1,-1,23,1,2,1,32,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,5,32,0,0,0,3,3,5,32,0,0,0,4,8,3.601999998,3.599999905,15,10,-1,305.4388396,334.4467506,,,,
23454171,800013,234541710201,23454171020101,-1,-1,23,2,1,1,32,0,4,-1,-1,-1,-1,11,-1,-1,-1,3,3,5,32,0,0,0,3,3,5,32,0,0,0,4,8,3.601999998,3.599999905,15,10,-1,305.4388396,266.7687913,,,,
23454171,800013,234541710202,23454171020201,-1,-1,23,2,2,1,32,0,4,-1,-1,-1,-1,11,-1,-1,-1,3,3,5,32,0,0,0,3,3,5,32,0,0,0,4,8,3.601999998,3.599999905,15,10,-1,305.4388396,266.7687913,,,,
