shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib
22210071,800004,222100710102,22210071010201,-1,-1,22,1,2,1,4,503.2361409442344,505.2160482262663,660.6605311803039,750.6393901422294,0.0,0.0,0,1,-1,-1,3,-1,11,-1,-1,-1,3,3,7,18,0,0,3,3,7,18,0,0,4,8,0.391,0.30000001,0,5,-1
22225291,800009,222252910202,22225291020208,22225291020207,-1,22,2,2,8,5,283.0818897189592,280.8820776524207,398.1291032828286,384.6439495124753,576.3296595732904,534.171469225518,0,1,19,-1,10,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.375,0.30000001,10,0,-1
22225291,800009,222252910203,22225291020301,-1,22225291020302,22,2,3,1,5,283.0818897189592,280.8820776524207,398.1291032828286,384.6439495124753,576.3296595732904,534.171469225518,0,1,-1,17,10,-1,3,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.375,0.30000001,10,0,-1
22361231,800013,223612310101,22361231010101,-1,-1,22,1,1,1,29,268.5560473148145,209.0615022797088,0.0,0.0,0.0,0.0,0,1,-1,-1,25,-1,11,-1,-1,-1,3,3,5,29,0,0,3,3,5,29,0,0,4,8,0.28200001,0.2,25,0,-1
22361231,800014,223612310201,22361231020101,-1,-1,22,2,1,1,29,268.5560473148145,181.6733979002976,0.0,0.0,0.0,0.0,0,1,-1,-1,25,-1,11,-1,-1,-1,3,3,5,29,0,0,3,3,5,29,0,0,4,8,0.28200001,0.2,25,0,-1
22361231,800013,223612310102,22361231010201,-1,-1,22,1,2,1,29,268.5560473148145,209.0615022797088,0.0,0.0,0.0,0.0,0,1,-1,-1,30,-1,11,-1,-1,-1,3,3,5,29,0,0,3,3,5,29,0,0,4,8,0.28200001,0.2,30,0,-1
22361231,800014,223612310202,22361231020201,-1,-1,22,2,2,1,29,268.5560473148145,181.6733979002976,0.0,0.0,0.0,0.0,0,1,-1,-1,30,-1,11,-1,-1,-1,3,3,5,29,0,0,3,3,5,29,0,0,4,8,0.28200001,0.2,30,0,-1
22225291,800010,222252910301,22225291030101,-1,22225291030102,22,3,1,1,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,0,1,-1,14,5,-1,2,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.20299999,0.2,5,0,-1
22225291,800008,222252910105,22225291010501,-1,-1,22,1,5,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,0,1,-1,-1,4,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.183,0.1,0,0,-1
22225291,800009,222252910201,22225291020101,-1,-1,22,2,1,1,5,283.0818897189592,280.8820776524207,398.1291032828286,384.6439495124753,576.3296595732904,534.171469225518,0,1,-1,-1,4,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.183,0.1,0,0,-1
